baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.2359.1|1024|x|CTRG_01065-T|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	7.14283629248276	-3.4412715157999	1.09253058060513	-3.14981710982759	0.00163372700492808	0.00446257874369226
MSTRG.2455.1|957|x|CTRG_01127-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	94.5624275307865	1.4528755183981	0.368961867320041	3.93773895647015	8.22530055020709e-05	0.000301762118961706
MSTRG.2472.1|487|x|CTRG_01139-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	95.5610451057799	-1.81928763667925	0.495943663019591	-3.66833528147609	0.0002441349003306	0.000809987491452592
MSTRG.2529.1|387|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	5.29825048356667	3.16072951056593	0.902395661779616	3.50259829965566	0.000460743739155522	0.00144362931932492
MSTRG.2543.1|639|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	16.4982029749523	1.54387546126716	0.514318802940266	3.00178693145401	0.00268399963156569	0.00694711468003775
MSTRG.2707.1|792|x|CTRG_01289-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	140.957647110492	-1.29933538895863	0.36653012171873	-3.54496209715534	0.000392669546834482	0.00124520898229265
MSTRG.2829.1|282|x|CTRG_01375-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	5.67539664462899	-4.0538832222051	1.27653627922193	-3.17568978507686	0.00149480707416727	0.00411795555646867
MSTRG.2870.1|1490|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	11.0815812693653	2.26601589723061	0.731170995196585	3.0991599941972	0.00194070187173251	0.00519625247570102
MSTRG.2895.1|240|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	2.69436093329142	-4.72416684149175	1.47396602367402	-3.20507173545035	0.00135028823069651	0.00375806346434565
MSTRG.2943.1|763|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	12.2396018881101	-1.98194352068896	0.670658171493824	-2.95522160905664	0.00312444533411139	0.00794023437315502
MSTRG.2968.1|525|x|CTRG_01472-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	43.87691955547	2.39032488153588	0.487759576801583	4.90062111585817	9.55341404787647e-07	5.20723100765423e-06
MSTRG.3075.1|594|x|CTRG_01549-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	15.3010894019182	2.53592134004886	0.579902878805215	4.37301043456392	1.22544864418637e-05	5.39686039837376e-05
MSTRG.3135.1|675|x|CTRG_01594-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	31.3669998434954	3.58940337227179	0.785290957214436	4.5707942251163	4.8587921081092e-06	2.30552294830235e-05
MSTRG.3144.1|331|x|CTRG_01600-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	61.7912752413117	1.85757450579735	0.402137799540376	4.61924869514995	3.85132022680554e-06	1.86651166188255e-05
MSTRG.3195.1|377|x|CTRG_01637-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	23.5605695267518	2.20472067706442	0.687294395496989	3.20782577525628	0.00133742492287962	0.00372596906825474
MSTRG.3197.1|303|x|CTRG_01637-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	9.6282254750499	2.24194252967828	0.727380439509817	3.08221448900816	0.00205466728994781	0.00546132907910764
MSTRG.3263.1|348|x|CTRG_01691-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	9.77887989112579	-3.63658758826019	1.24132432675295	-2.92960309395754	0.00339395208360522	0.00852703794965047
MSTRG.3340.1|244|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	3.16954110844867	3.78893188906681	1.25371125975072	3.02217265705996	0.00250967356652067	0.00654026697217462
MSTRG.3372.1|222|x|CTRG_01772-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	14.927815313427	-3.36931959573656	1.05753635028227	-3.18600830584902	0.00144250455884269	0.00399221340815217
MSTRG.3396.1|787|u|NA|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	78.8687260424169	1.96959674359864	0.570520591222252	3.45227985440294	0.00055587086728049	0.0017141734239355
MSTRG.3441.1|444|x|CTRG_01810-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	25.9372979951984	2.41623023429075	0.577609966129504	4.18315191214865	2.87495143363878e-05	0.000116132542511857
MSTRG.3471.1|341|x|CTRG_01827-T|Supercontig_3.2_C_tropicalis_MYA-3404|ctrop	9.4927249355886	2.94324714813892	0.717218699892508	4.10369549564176	4.06602560088847e-05	0.00015859767143986
