Run	SRA_Study
SRR1186233	SRP038200
SRR1237071	SRP038200
SRR1237075	SRP038200
SRR1237082	SRP038200
SRR1237085	SRP038200
SRR1237092	SRP038200
SRR1237119	SRP038200
SRR1237163	SRP038200
SRR1237208	SRP038200
SRR1237307	SRP038200
SRR1237324	SRP038200
SRR1237720	SRP038200
SRR1274989	SRP038200
SRR1172222	SRP038209
SRR1172255	SRP038209
SRR1172369	SRP038209
SRR1172376	SRP038209
SRR1172428	SRP038209
SRR1172429	SRP038209
SRR1172678	SRP038209
SRR1172810	SRP038209
SRR1184279	SRP038209
SRR1184286	SRP038209
SRR1184406	SRP038209
SRR1186226	SRP038209
SRR1237040	SRP038209
SRR1237048	SRP038209
SRR1237078	SRP038209
SRR1237083	SRP038209
SRR1237106	SRP038209
SRR1237122	SRP038209
SRR1237164	SRP038209
SRR1237206	SRP038209
SRR1237280	SRP038209
SRR1237759	SRP038209
SRR1237764	SRP038209
SRR1273795	SRP038209
SRR1172262	SRP038210
SRR1172388	SRP038210
SRR1172426	SRP038210
SRR1172445	SRP038210
SRR1172450	SRP038210
SRR1172664	SRP038210
SRR1174844	SRP038210
SRR1175273	SRP038210
SRR1184271	SRP038210
SRR1184272	SRP038210
SRR1184415	SRP038210
SRR1186227	SRP038210
SRR1237030	SRP038210
SRR1237039	SRP038210
SRR1237081	SRP038210
SRR1237088	SRP038210
SRR1237102	SRP038210
SRR1237110	SRP038210
SRR1237170	SRP038210
SRR1237207	SRP038210
SRR1237291	SRP038210
SRR1237711	SRP038210
SRR1237754	SRP038210
SRR1273813	SRP038210
SRR1172277	SRP038211
SRR1172337	SRP038211
SRR1172360	SRP038211
SRR1172407	SRP038211
SRR1172413	SRP038211
SRR1172433	SRP038211
SRR1172663	SRP038211
SRR1172682	SRP038211
SRR1184257	SRP038211
SRR1184405	SRP038211
SRR1184411	SRP038211
SRR1186042	SRP038211
SRR1237060	SRP038211
SRR1237084	SRP038211
SRR1237094	SRP038211
SRR1237111	SRP038211
SRR1237123	SRP038211
SRR1237124	SRP038211
SRR1237147	SRP038211
SRR1237299	SRP038211
SRR1237748	SRP038211
SRR1237761	SRP038211
SRR1273429	SRP038211
SRR1273802	SRP038211
SRR1172283	SRP038212
SRR1172325	SRP038212
SRR1172385	SRP038212
SRR1172391	SRP038212
SRR1172396	SRP038212
SRR1172439	SRP038212
SRR1172672	SRP038212
SRR1175261	SRP038212
SRR1184258	SRP038212
SRR1184407	SRP038212
SRR1186044	SRP038212
SRR1186230	SRP038212
SRR1237047	SRP038212
SRR1237054	SRP038212
SRR1237076	SRP038212
SRR1237077	SRP038212
SRR1237089	SRP038212
