45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
MSTRG.89.1|823|x|CTRG_05837-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 28 71 68 190 216 268 506 840 614 650 253 498 765 584 672 1623 1144
CTRG_05837|537 127 6 34 61 1164 683 858 92 145 114 145 53 38 56 40 42 95 84
MSTRG.91.1|2416|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 1893 3638 9371 4906 3390 2803 4102 8578 13687 10727 13061 3821 3561 5284 4701 6698 4665 3612
MSTRG.92.1|3183|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 54 193 503 189 141 105 127 219 301 211 314 94 111 129 123 167 114 112
MSTRG.93.1|595|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 3 16 1 2 2 4 6 7 3 2 7 1 0 0 0 1 1
MSTRG.94.1|2395|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 3 5 12 10 7 20 17 7 14 18 12 4 3 7 5 3 1 3
MSTRG.95.1|1566|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 11 27 19 12 6 9 15 27 19 26 6 3 3 0 9 2 3
MSTRG.96.1|574|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 4 5 3 8 9 11 2 5 2 3 0 0 0 0 0 0 0
MSTRG.97.1|3117|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 15 28 51 29 33 33 65 66 104 90 95 42 19 27 28 26 16 20
MSTRG.98.1|1768|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 1 11 42 15 33 34 52 33 41 36 48 9 10 11 7 6 2 2
MSTRG.99.1|1586|u|NA|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 4 6 10 5 12 6 10 3 6 3 4 2 1 1 0 0 0 1
CTRG_05838|5859 72293 43243 113102 59773 197536 84334 104007 92219 107751 101490 123859 36030 11423 16272 19799 24478 5862 7994
MSTRG.101.1|1129|x|CTRG_05838-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 0 5 12 0 4 2 1 0 0 1 2 0 0 0 0 1 0 0
MSTRG.102.1|1871|x|CTRG_05839-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 6 19 75 98 18 15 23 35 91 61 81 23 47 87 68 72 237 166
CTRG_05839|768 169 492 1234 675 247 262 378 609 686 648 877 280 425 680 542 663 690 570
CTRG_05840|1113 5213 9760 25620 14811 1400 1197 1697 928 1281 878 1165 359 606 964 749 1000 1699 1307
CTRG_05841|321 878 2348 6076 2514 166 268 325 1098 1717 1316 1706 500 620 1029 716 898 1887 1235
CTRG_05842|3870 1316 946 2433 1590 1475 649 1227 1951 3216 2598 3116 970 406 636 612 763 1536 1516
CTRG_05843|819 11077 13050 33782 12938 4194 4696 5916 4604 6053 5127 6418 1946 2636 3906 3317 3379 6528 5124
CTRG_05844|675 11 5 13 16 5 2 8 12 23 10 6 0 4 7 5 5 17 9
CTRG_05845|363 0 0 0 0 0 0 0 0 0 0 2 0 3 1 0 2 1 0
CTRG_05846|480 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CTRG_05847|663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CTRG_05848|654 0 0 0 3 1 0 1 0 0 0 0 1 0 0 0 0 0 0
CTRG_05849|396 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
CTRG_05850|471 0 55 109 134 1 0 2 2 1 0 1 1 1 0 1 0 13 16
